decade,lg,tp,len_bucket,ocrqa_bucket,n
1990,fr,article,200-400,>=0.8,128079
1840,fr,article,>=800,>=0.8,73663
1830,fr,article,<200,NA,8495
1830,fr,article,>=800,>=0.8,53976
1830,fr,article,200-400,>=0.8,4169
1830,fr,article,400-600,>=0.8,4682
1830,fr,article,<200,>=0.8,2251
1830,fr,article,600-800,>=0.8,4585
1840,en,article,>=800,>=0.8,705896
1840,en,article,200-400,>=0.8,45089
1840,en,article,400-600,>=0.8,41553
1840,en,article,<200,NA,161335
1840,en,article,600-800,>=0.8,36137
1840,en,article,200-400,NA,5188
1840,en,article,600-800,NA,1600
1840,en,article,>=800,NA,6040
1840,en,article,<200,>=0.8,19326
1840,en,ad,200-400,>=0.8,625
1840,en,ad,>=800,>=0.8,11225
1840,en,ad,>=800,NA,152
1840,en,ad,200-400,NA,14
1840,en,ad,400-600,>=0.8,162
1840,en,article,>=800,0.7-0.8,22937
1840,en,ad,600-800,>=0.8,136
1840,en,article,400-600,NA,2422
1840,en,article,400-600,0.7-0.8,1832
1840,en,ad,400-600,NA,12
1840,en,ad,<200,NA,87
1850,en,article,<200,NA,236727
1850,en,article,400-600,>=0.8,67350
1850,en,article,>=800,>=0.8,850950
1850,en,ad,>=800,>=0.8,12128
1850,en,article,200-400,>=0.8,78168
1850,en,article,600-800,NA,2318
1850,en,article,600-800,>=0.8,56488
1850,en,article,<200,>=0.8,34468
1850,en,article,<200,0.7-0.8,3862
1850,en,article,>=800,0.7-0.8,31230
1850,en,article,200-400,NA,7009
1850,en,article,>=800,0.6-0.7,3708
1850,en,article,400-600,NA,3819
1850,en,article,400-600,0.7-0.8,2916
1850,en,article,200-400,0.7-0.8,4700
1850,en,article,>=800,NA,6931
1850,en,article,600-800,0.7-0.8,2288
1850,la,article,<200,NA,2
1850,en,ad,>=800,NA,70
1810,en,article,>=800,>=0.8,153757
1810,en,article,>=800,0.7-0.8,67635
1810,en,ad,>=800,0.6-0.7,583
1810,en,article,200-400,>=0.8,7877
1810,en,article,<200,>=0.8,3097
1810,en,article,<200,NA,52799
1810,en,article,<200,0.7-0.8,1384
1810,en,article,>=800,0.5-0.6,3586
1810,en,article,>=800,0.6-0.7,26822
1810,en,article,600-800,>=0.8,7271
1810,en,ad,>=800,>=0.8,2953
1810,en,article,400-600,>=0.8,7356
1810,en,ad,600-800,0.7-0.8,114
1810,en,article,200-400,0.7-0.8,2945
1810,en,ad,600-800,>=0.8,374
1810,en,ad,400-600,>=0.8,459
1810,en,article,600-800,0.6-0.7,659
1810,en,ad,>=800,0.7-0.8,1582
1810,en,article,400-600,0.7-0.8,2978
1810,en,ad,<200,NA,255
1810,en,ad,400-600,0.7-0.8,139
1810,la,article,<200,NA,1
1810,en,ad,200-400,>=0.8,619
1810,en,article,600-800,0.7-0.8,2905
1810,en,ad,<200,0.7-0.8,44
1810,en,ad,<200,>=0.8,152
1810,en,article,<200,0.5-0.6,35
1810,en,ad,200-400,0.7-0.8,122
1810,fr,article,400-600,>=0.8,1297
1810,en,article,200-400,0.6-0.7,553
1810,en,article,400-600,0.6-0.7,661
1810,en,article,<200,0.6-0.7,316
1810,en,article,>=800,<0.5,193
1810,en,ad,400-600,0.6-0.7,10
1810,en,article,600-800,0.5-0.6,41
1810,fr,article,400-600,0.7-0.8,305
1810,en,ad,>=800,NA,273
1810,fr,article,>=800,>=0.8,16080
1810,en,article,400-600,NA,930
1810,en,article,400-600,0.5-0.6,37
1810,en,article,<200,<0.5,3
1810,en,article,200-400,NA,1721
1810,en,article,600-800,<0.5,4
1810,en,article,200-400,0.5-0.6,46
1810,en,article,>=800,NA,1662
1810,en,article,400-600,<0.5,4
1810,en,article,600-800,NA,650
1810,en,ad,600-800,NA,89
1810,en,ad,400-600,NA,72
1820,en,article,<200,NA,87406
1820,en,article,>=800,>=0.8,429553
1820,en,ad,600-800,NA,77
1820,en,article,<200,>=0.8,5915
1820,en,article,600-800,0.6-0.7,237
1820,en,ad,200-400,>=0.8,552
1820,en,article,400-600,>=0.8,14879
1820,en,article,600-800,0.7-0.8,1748
1820,en,article,>=800,0.7-0.8,46750
1820,en,article,600-800,>=0.8,14891
1820,en,ad,400-600,NA,75
1820,en,article,200-400,>=0.8,15196
1820,en,ad,>=800,NA,357
1820,en,article,<200,0.7-0.8,1208
1820,en,ad,>=800,>=0.8,10002
1820,en,article,400-600,NA,1305
1820,en,ad,600-800,>=0.8,369
1820,en,article,200-400,NA,2606
1820,en,ad,400-600,>=0.8,512
1820,en,article,600-800,NA,892
1820,en,article,200-400,0.7-0.8,2325
1820,en,article,>=800,0.6-0.7,7803
1820,en,article,>=800,0.5-0.6,702
1820,en,ad,>=800,0.7-0.8,2675
1820,en,article,400-600,0.7-0.8,1948
1820,en,ad,<200,NA,223
1820,en,article,>=800,NA,2677
1820,en,ad,200-400,NA,110
1820,en,article,<200,0.6-0.7,190
1820,en,ad,<200,>=0.8,66
1820,en,article,400-600,0.6-0.7,313
1820,en,article,>=800,<0.5,154
1820,en,article,200-400,0.6-0.7,333
1820,en,ad,200-400,0.7-0.8,32
1820,en,ad,400-600,0.7-0.8,26
1820,en,ad,400-600,0.6-0.7,5
1870,en,article,>=800,>=0.8,779669
1870,en,article,<200,NA,175839
1870,en,article,<200,>=0.8,42535
1870,en,article,200-400,0.7-0.8,7482
1870,en,article,600-800,>=0.8,58769
1870,en,article,200-400,>=0.8,77303
1870,en,ad,>=800,>=0.8,11707
1870,en,article,400-600,>=0.8,68692
1870,en,article,<200,0.7-0.8,5541
1870,en,article,>=800,0.7-0.8,67576
1870,en,ad,>=800,0.7-0.8,2883
1870,en,article,200-400,NA,4478
1870,en,article,>=800,0.6-0.7,13395
1870,en,article,400-600,0.6-0.7,863
1870,en,article,200-400,0.6-0.7,1310
1870,en,article,400-600,0.7-0.8,5529
1870,en,article,<200,0.6-0.7,1198
1870,en,article,400-600,NA,2622
1870,en,article,>=800,NA,10272
1870,en,article,600-800,0.7-0.8,4778
1870,en,article,600-800,NA,1881
1870,en,article,600-800,0.6-0.7,628
1870,en,ad,<200,NA,8
1880,en,article,<200,NA,220577
1880,en,article,>=800,>=0.8,781409
1880,en,article,>=800,0.7-0.8,73364
1880,en,article,600-800,>=0.8,61908
1880,en,article,200-400,>=0.8,79986
1880,en,ad,>=800,>=0.8,8846
1880,en,article,400-600,>=0.8,72943
1880,en,article,<200,>=0.8,46077
1880,en,article,>=800,NA,10858
1880,en,article,400-600,NA,2853
1880,en,article,200-400,NA,4803
1880,en,article,200-400,0.7-0.8,10502
1880,en,article,400-600,0.7-0.8,7707
1880,en,article,>=800,0.6-0.7,13738
1880,en,article,200-400,0.6-0.7,1713
1880,en,article,<200,0.7-0.8,8396
1880,en,article,600-800,0.7-0.8,6004
1880,en,article,600-800,0.6-0.7,899
1880,en,article,<200,0.6-0.7,1895
1850,NA,article,<200,NA,4171
1850,NA,article,>=800,NA,202
1850,NA,article,400-600,NA,87
1850,NA,article,200-400,NA,140
1850,en,ad,200-400,>=0.8,447
1850,NA,article,600-800,NA,49
1850,en,article,<200,0.6-0.7,599
1850,NA,ad,200-400,NA,3
1850,NA,ad,>=800,NA,6
1850,NA,ad,<200,NA,2
1850,en,ad,400-600,>=0.8,157
1850,en,ad,600-800,0.7-0.8,5
1850,en,article,200-400,0.6-0.7,501
1850,en,article,600-800,0.6-0.7,218
1830,en,article,>=800,>=0.8,562103
1830,en,article,200-400,>=0.8,23514
1830,en,article,>=800,0.7-0.8,34387
1830,en,article,<200,>=0.8,9276
1830,en,article,<200,NA,113481
1830,en,ad,>=800,NA,356
1830,en,article,600-800,>=0.8,20792
1830,en,article,400-600,>=0.8,22211
1830,en,ad,600-800,>=0.8,193
1830,en,article,>=800,0.6-0.7,4627
1830,en,article,200-400,0.7-0.8,1934
1830,en,ad,>=800,>=0.8,10958
1830,en,article,400-600,0.7-0.8,1551
1830,en,ad,200-400,>=0.8,185
1830,en,article,400-600,NA,1928
1830,en,ad,<200,>=0.8,38
1830,en,ad,400-600,>=0.8,213
1830,en,ad,600-800,0.7-0.8,17
1830,en,article,200-400,0.6-0.7,187
1830,en,article,<200,0.7-0.8,1072
1830,en,ad,<200,NA,217
1830,en,article,200-400,NA,3785
1830,en,ad,>=800,0.7-0.8,2038
1830,en,article,400-600,0.6-0.7,153
1830,en,article,>=800,NA,4383
1830,en,article,600-800,0.6-0.7,149
1830,en,article,600-800,0.7-0.8,1199
1830,en,ad,200-400,0.7-0.8,12
1830,la,article,>=800,NA,11
1830,en,ad,400-600,0.7-0.8,9
1830,en,article,600-800,NA,1074
1830,en,ad,200-400,NA,60
1830,en,ad,400-600,NA,38
1830,en,ad,400-600,0.6-0.7,4
1830,en,ad,>=800,0.6-0.7,114
1830,en,ad,<200,0.7-0.8,4
1830,en,article,<200,0.6-0.7,185
1870,en,article,<200,0.5-0.6,178
1880,en,ad,>=800,0.7-0.8,4392
1880,en,article,<200,0.5-0.6,286
1880,en,article,600-800,NA,1879
1880,en,article,400-600,0.6-0.7,1034
1880,en,article,400-600,0.5-0.6,52
1880,en,article,200-400,0.5-0.6,113
1880,en,ad,>=800,0.6-0.7,770
1880,en,article,<200,<0.5,49
1880,en,article,>=800,0.5-0.6,629
1880,en,article,600-800,0.5-0.6,30
1890,en,article,>=800,>=0.8,760713
1890,en,article,<200,NA,227966
1890,en,article,600-800,>=0.8,86026
1890,en,article,400-600,>=0.8,104953
1890,en,article,>=800,0.7-0.8,99540
1890,en,article,200-400,>=0.8,104580
1890,en,ad,>=800,>=0.8,7756
1890,en,article,400-600,0.7-0.8,14606
1890,en,article,600-800,0.7-0.8,11646
1890,en,article,200-400,0.7-0.8,18565
1890,en,article,<200,0.7-0.8,12440
1890,en,article,>=800,0.6-0.7,24377
1890,en,article,400-600,0.6-0.7,2518
1890,en,article,<200,>=0.8,55883
1890,en,article,400-600,NA,3107
1890,en,article,200-400,NA,5096
1890,en,article,600-800,0.6-0.7,1989
